School Short Name,School ID,Website URL
LEGAL PREP HS,400119,http://www.legalprep.org
LELAND,610305,http://lelandstem.weebly.com/
LENART,610298,http://www.lenart.cps.edu
LEWIS,610036,http://lewis.auslchicago.org
LIBBY,610037,http://www.libby.cps.edu
LINCOLN,610038,http://www.lincolnelementary.org
LINCOLN PARK HS,609738,http://www.lincolnparkhs.org
LINDBLOM HS,610391,http://www.lindblomeagles.org
LITTLE BLACK PEARL HS,400137,http://blackpearl.org
LITTLE VILLAGE,609834,http://www.lva.cps.edu
LLOYD,610040,http://www.lloydschool.org
LOCKE A,400011,http://www.alainlocke.org
LOCKE J,610041,http://www.lockeschool.org
LOGANDALE,610325,http://avondalelogandaleschool.org/
LORCA,610541,http://www.lorca.cps.k12.il.us
LOVETT,610043,http://www.lovettelementary.org
LOWELL,610044,http://www.lowell.cps.edu/
LOZANO,610029,http://lozano1501.org
LYON,610046,http://www.marylyonschool.com
MADERO,610215,
MADISON,610047,
MAGIC JOHNSON - BRAINERD HS,610581,http://magicjohnsonbridgescape.com
MAGIC JOHNSON - ENGLEWOOD HS,610582,http://magicjohnsonbridgescape.com
MAGIC JOHNSON - HUMBOLDT PK HS,610580,http://magicjohnsonbridgescape.com
MAGIC JOHNSON - N LAWNDALE HS,610566,http://magicjohnsonbridgescape.com
MAGIC JOHNSON - ROSELAND HS,610567,http://magicjohnsonbridgescape.com
MANIERRE,610048,http://www.manierrefergusoncpc.org/
MANLEY HS,609722,http://www.manleyhighschool.org
MANN,610052,
MARINE LEADERSHIP AT AMES HS,609780,http://marine.cps.edu
MARINE MILITARY HS,610502,http://marine.cps.edu
MARQUETTE,610053,http://marquette.auslchicago.org
MARSH,610054,http://jlmarsh.org
MARSHALL HS,609723,http://www.marshallmetrohighschool.org
MARSHALL MIDDLE,610321,
MASON,610056,http://www.masonelementary.org
MATHER HS,609724,http://www.matherhs.org
MAYER,610059,http://mayermagnet.org/
MAYS,610290,http://www.maysacademy.com/
MCAULIFFE,609968,http://mcauliffees.org
MCCLELLAN,610062,http://www.mcclellanelementary.org
MCCORMICK,610063,http://mccormick.cps.edu
MCCUTCHEON,610269,http://www.McCutcheonElementary.org
MCDADE,610066,http://www.mcdadeclassical.org/
MCDOWELL,610312,http://www.memcdowellelementaryschool.com
MCKAY,610067,http://www.mckay.cps.edu
MCNAIR,610282,http://mcnair.auslchicago.org/
MCPHERSON,610070,http://www.McPherson.cps.k12.il.us
MELODY,610293,http://www.melodystem.org
METCALFE,609902,http://www.metcalfe.cps.edu
MIRELES,610171,http://mireleselementary.org
MITCHELL,610073,http://www.mitchellschool.org
MOLLISON,610276,http://www.mollisonelementary.com
MONROE,610074,http://www.jamesmonroeschool.org
MONTEFIORE,610075,
MONTESSORI ENGLEWOOD,400116,http://www.tmsoe.org
MOOS,610076,http://mooselementary.org/
MORGAN PARK HS,609725,http://www.morganparkcps.org
MORRILL,610077,http://www.morrill.cps.edu
MORTON,610257,http://auslchicago.org/schools/pages/morton
MOUNT GREENWOOD,610082,http://www.mtgreenwood.cps.edu
MOUNT VERNON,610086,http://mtvernon.cps.edu/
MOVING EVEREST,400178,http://www.movingeverest.org/
MOZART,610088,http://mozartelementaryschool.weebly.com/
MULTICULTURAL HS,610385,http://ma.lvlhs.org/
MURPHY,610089,http://www.murphy.cps.edu/
MURRAY,610090,http://www.murray.cps.edu
NAMASTE,400050,http://www.namastecharterschool.org
NASH,610092,
NATIONAL TEACHERS,610231,http://nta.auslchicago.org
NEIL,610093,http://www.neil.cps.edu
NETTELHORST,610094,http://www.nettelhorst.org
NEW FIELD,610284,http://www.newfield.cps.edu
NEW SULLIVAN,610193,http://www.newsullivan.cps.edu
NEWBERRY,610095,http://www.newberryacademy.org
NICHOLSON,609793,http://nicholsonstem.org/
NIGHTINGALE,610096,http://www.nightingale.cps.edu
NINOS HEROES,609961,
NIXON,610097,
NKRUMAH,400045,http://www.kwamenkrumahacademy.org
NOBEL,610098,http://www.nobel.cps.edu/
NOBLE - ACADEMY HS,400170,http://thenobleacademy.noblenetwork.org
NOBLE - BAKER HS,400157,http://bakercollegeprep.noblenetwork.org/
NOBLE - BULLS HS,400097,http://www.chicagobullscollegeprep.org
NOBLE - BUTLER HS,400156,http://noblepullman.noblenetwork.org
NOBLE - COMER,400052,http://garycomercollegeprep.noblenetwork.org
NOBLE - DRW HS,400118,http://drwcollegeprep.noblenetwork.org/
NOBLE - GOLDER HS,400053,http://www.goldercollegeprep.org
NOBLE - HANSBERRY HS,400117,http://www.hansberrycollegeprep.org
NOBLE - ITW SPEER HS,400169,http://itwspeeracademy.noblenetwork.org/
NOBLE - JOHNSON HS,400106,http://johnsoncollegeprep.noblenetwork.org
NOBLE - MUCHIN HS,400098,http://www.muchincollegeprep.org
NOBLE - NOBLE HS,400051,http://noblestreet.noblenetwork.org
NOBLE - PRITZKER HS,400054,http://www.pritzkercollegeprep.org
NOBLE - RAUNER HS,400055,http://raunercollegeprep.noblenetwork.org
NOBLE - ROWE CLARK HS,400056,http://roweclark.noblenetwork.org
NOBLE - UIC HS,400057,http://www.uiccollegeprep.org
NORTH LAWNDALE - CHRISTIANA HS,400058,http://www.nlcphs.org
NORTH LAWNDALE - COLLINS HS,400059,http://www.nlcphs.org
NORTH RIVER,610354,
NORTH-GRAND HS,609691,http://www.northgrandhs.org
NORTHSIDE LEARNING HS,609744,http://www.northsidelearningcenter.org/
