WARREN|9239 S Jeffery Ave Chicago, IL 60617
LEE|6448 S Tripp Ave Chicago, IL 60629
PECK|3826 W 58th St Chicago, IL 60629
LASALLE|1734 N Orleans St Chicago, IL 60614
LYON|2941 N McVicker Ave Chicago, IL 60634
PATHWAYS - AVONDALE HS|3100 W Belmont Ave Chicago, IL 60618
PAYTON HS|1034 N Wells St Chicago, IL 60610
SUDER|2022 W Washington Blvd Chicago, IL 60612
SMITH|744 E 103rd St Chicago, IL 60628
YCCS - YOUTH CONNECTION|3424 S State St Chicago, IL 60616
JEFFERSON HS|1100 S Hamilton Ave Chicago, IL 60612
LINCOLN|615 W Kemper Pl Chicago, IL 60614
SPRY ES|2400 S Marshall Blvd Chicago, IL 60623
HITCH|5625 N McVicker Ave Chicago, IL 60646
OWEN|8247 S Christiana Ave Chicago, IL 60652
KIPLING|9351 S Lowe Ave Chicago, IL 60620
UNO - CLEMENTE|2050 N Natchez Ave Chicago, IL 60707
SCHURZ HS|3601 N Milwaukee Ave Chicago, IL 60641
AUSTIN POLY HS|231 N Pine Ave Chicago, IL 60644
SAUGANASH|6040 N Kilpatrick Ave Chicago, IL 60646
OGDEN ES|24 W Walton St Chicago, IL 60610
NIGHTINGALE|5250 S Rockwell St Chicago, IL 60632
NOBLE - COMER|7131 S South Chicago Ave Chicago, IL 60619
UPLIFT HS|900 W Wilson Ave Chicago, IL 60640
PARKSIDE|6938 S East End Ave Chicago, IL 60649
JACKSON M|917 W 88th St Chicago, IL 60620
THORP J|8914 S Buffalo Ave Chicago, IL 60617
BOUCHET|7355 S Jeffery Blvd Chicago, IL 60649
NOBLE - RAUNER HS|1337 W Ohio St Chicago, IL 60642
KELLY HS|4136 S California Ave Chicago, IL 60632
MITCHELL|2233 W Ohio St Chicago, IL 60612
BOWEN HS|2710 E 89th St Chicago, IL 60617
TELPOCHCALLI|2832 W 24th Blvd Chicago, IL 60623
HOYNE|8905 S Crandon Ave Chicago, IL 60617
BRENTANO|2723 N Fairfield Ave Chicago, IL 60647
WATERS|4540 N Campbell Ave Chicago, IL 60625
EARHART|1710 E 93rd St Chicago, IL 60617
ERICSON|3600 W 5th Ave Chicago, IL 60624
PASTEUR|5825 S Kostner Ave Chicago, IL 60629
BURLEY|1630 W Barry Ave Chicago, IL 60657
YCCS - CCA ACADEMY|1231 S Pulaski Rd Chicago, IL 60623
SOCIAL JUSTICE HS|3120 S Kostner Ave Chicago, IL 60623
MAYS|6656 S Normal Blvd Chicago, IL 60621
SCAMMON|4201 W Henderson St Chicago, IL 60641
MANLEY HS|2935 W Polk St Chicago, IL 60612
BRONZEVILLE HS|4934 S Wabash Ave Chicago, IL 60615
LEARN - PERKINS|1700 W 83rd St Chicago, IL 60620
HAY|1018 N Laramie Ave Chicago, IL 60651
NOBLE - PRITZKER HS|4131 W Cortland St Chicago, IL 60639
NOBEL|4127 W Hirsch St Chicago, IL 60651
FALCONER|3020 N Lamon Ave Chicago, IL 60641
BRONZEVILLE LIGHTHOUSE|8 W Root St Chicago, IL 60609
AMUNDSEN HS|5110 N Damen Ave Chicago, IL 60625
DARWIN|3116 W Belden Ave Chicago, IL 60647
UNO - ROGERS PARK|7416 N Ridge Ave Chicago, IL 60645
CATALYST - MARIA|6727 S California Ave Chicago, IL 60629
CAMERON|1234 N Monticello Ave Chicago, IL 60651
PROLOGUE - EARLY COLLEGE HS|1135 N Cleaver Ave Chicago, IL 60642
MCDOWELL|1419 E 89th St Chicago, IL 60619
PLATO|5545 W Harrison St Chicago, IL 60644
CAMRAS|3000 N Mango Ave Chicago, IL 60634
GREELEY|832 W Sheridan Rd Chicago, IL 60613
GRAHAM HS|2347 S Wabash Ave Chicago, IL 60616
SOLORIO HS|5400 S St Louis Ave Chicago, IL 60632
YCCS - ADDAMS|1814 S Union Ave Chicago, IL 60616
PARK MANOR|7037 S Rhodes Ave Chicago, IL 60637
YATES|1839 N Richmond St Chicago, IL 60647
SEWARD|4600 S Hermitage Ave Chicago, IL 60609
NOBLE - ITW SPEER HS|2456 N Mango Ave Chicago, IL 60639
CATALYST - CIRCLE ROCK|5608 W Washington Blvd Chicago, IL 60644
PICCOLO|1040 N Keeler Ave Chicago, IL 60651
FOUNDATIONS|1233 W 109th Pl Chicago, IL 60643
SULLIVAN HS|6631 N Bosworth Ave Chicago, IL 60626
MADISON|7433 S Dorchester Ave Chicago, IL 60619
HEFFERAN|4409 W Wilcox St Chicago, IL 60624
CHICAGO VIRTUAL|38 S Peoria St Chicago, IL 60607
REILLY|3650 W School St Chicago, IL 60618
DE DIEGO|1313 N Claremont Ave Chicago, IL 60622
CLAY|13231 S Burley Ave Chicago, IL 60633
DRAKE|2710 S Dearborn St Chicago, IL 60616
VOISE HS|231 N Pine Ave Chicago, IL 60644
FRAZIER CHARTER|3711 W Douglas Blvd Chicago, IL 60623
BEIDLER|3151 W Walnut St Chicago, IL 60612
SCHMID|9755 S Greenwood Ave Chicago, IL 60628
ERIE|1405 N Washtenaw Ave Chicago, IL 60622
BOND|7050 S May St Chicago, IL 60621
KELVYN PARK HS|4343 W Wrightwood Ave Chicago, IL 60639
MORRILL|6011 S Rockwell St Chicago, IL 60629
CICS - IRVING PARK|3820 N Spaulding Ave Chicago, IL 60618
REINBERG|3425 N Major Ave Chicago, IL 60634
SPENCER|214 N Lavergne Ave Chicago, IL 60644
NEWBERRY|700 W Willow St Chicago, IL 60614
RANDOLPH|7316 S Hoyne Ave Chicago, IL 60636
GOODE HS|7651 S Homan Ave Chicago, IL 60652
HANSON PARK|5411 W Fullerton Ave Chicago, IL 60639
SENN HS|5900 N Glenwood Ave Chicago, IL 60660
GREAT LAKES|8401 S Saginaw Ave Chicago, IL 60617
DUNNE|10845 S Union Ave Chicago, IL 60628
NICHOLSON|6006 S Peoria St Chicago, IL 60621
PLAMONDON|2642 W 15th Pl Chicago, IL 60608
DEWEY|5415 S Union Ave Chicago, IL 60609
PICKARD|2301 W 21st Pl Chicago, IL 60608
FIELD|7019 N Ashland Ave Chicago, IL 60626
TONTI|5815 S Homan Ave Chicago, IL 60629
CHICAGO MATH & SCIENCE HS|7212 N Clark St Chicago, IL 60626
YCCS - YOUTH DEVELOPMENT|7836 S Union Ave Chicago, IL 60620
TURNER-DREW|9300 S Princeton Ave Chicago, IL 60620
SHABAZZ - DUSABLE HS|4934 S Wabash Ave Chicago, IL 60615
HALEY|11411 S Eggleston Ave Chicago, IL 60628
BENNETT|10115 S Prairie Ave Chicago, IL 60628
CARVER MILITARY HS|13100 S Doty Ave Chicago, IL 60627
UNO - BRIGHTON PARK|4420 S Fairfield Ave Chicago, IL 60632
GRISSOM|12810 S Escanaba Ave Chicago, IL 60633
TALMAN|5450 S Talman Ave Chicago, IL 60632
UNO - ZIZUMBO|4248 W 47th St Chicago, IL 60632
MASON|4217 W 18th St Chicago, IL 60623
U OF C - NKO|1119 E 46th St Chicago, IL 60653
CICS - NORTHTOWN HS|3900 W Peterson Ave Chicago, IL 60659
BURROUGHS|3542 S Washtenaw Ave Chicago, IL 60632
AZUELA|4707 W Marquette Rd Chicago, IL 60629
YOUNG ES|1434 N Parkside Ave Chicago, IL 60651
CALMECA|3456 W 38th St Chicago, IL 60632
KIPP CHICAGO - BLOOM|5515 S Lowe Ave Chicago, IL 60621
CICS - HAWKINS HS|801 E 133rd Pl Chicago, IL 60827
MADERO|3202 W 28th St Chicago, IL 60623
LORCA|3231 N Springfield Ave Chicago, IL 60618
JORDAN|7414 N Wolcott Ave Chicago, IL 60626
ASPIRA - HAUGAN|3729 W Leland Ave Chicago, IL 60625
CHICAGO ACADEMY HS|3400 N Austin Ave Chicago, IL 60634
URBAN PREP - BRONZEVILLE HS|521 E 35th St Chicago, IL 60616
HERNANDEZ|3510 W 55th St Chicago, IL 60632
YCCS - INNOVATIONS|17 N State St Chicago, IL 60602
LLOYD|2103 N Lamon Ave Chicago, IL 60639
FARRAGUT HS|2345 S Christiana Ave Chicago, IL 60623
WHITNEY|2815 S Komensky Ave Chicago, IL 60623
GOUDY|5120 N Winthrop Ave Chicago, IL 60640
FARNSWORTH|5414 N Linder Ave Chicago, IL 60630
GOETHE|2236 N Rockwell St Chicago, IL 60647
CAMELOT SAFE - GARFIELD HS|230 N KOLMAR Ave Chicago, IL 60624-212
INTRINSIC HS|4540 W Belmont Ave Chicago, IL 60641
ROWE|1424 N Cleaver St Chicago, IL 60642
BELL|3730 N Oakley Ave Chicago, IL 60618
SHERIDAN|533 W 27th St Chicago, IL 60616
WHISTLER|11533 S Ada St Chicago, IL 60643
ROGERS|7345 N Washtenaw Ave Chicago, IL 60645
LIBBY|5300 S Loomis Blvd Chicago, IL 60609
SANDOVAL|5534 S Saint Louis Ave Chicago, IL 60629
CICS - BASIL|1816 W Garfield Blvd Chicago, IL 60609
ACE TECH HS|5410 S State St Chicago, IL 60609
HUGHES L|240 W 104th St Chicago, IL 60628
YCCS - TRUMAN|1145 W Wilson Ave Chicago, IL 60640
INSTITUTO - LOZANO MASTERY HS|2520 S Western Ave Chicago, IL 60608
NEW FIELD|1707 W Morse Ave Chicago, IL 60626
PILSEN|1420 W 17th St Chicago, IL 60608
LINCOLN PARK HS|2001 N Orchard St Chicago, IL 60614
FAIRFIELD|6201 S Fairfield Ave Chicago, IL 60629
GALILEO|820 S Carpenter St Chicago, IL 60607
VICK|2554 W 113th St Chicago, IL 60655
POLARIS|620 N Sawyer Ave Chicago, IL 60624
MOUNT GREENWOOD|10841 S Homan Ave Chicago, IL 60655
CICS - WRIGHTWOOD|8130 S California Ave Chicago, IL 60652
CHASE|2021 N Point St Chicago, IL 60647
CATHER|2908 W Washington Blvd Chicago, IL 60612
GRAHAM ES|4436 S Union Ave Chicago, IL 60609
MANIERRE|1420 N Hudson Ave Chicago, IL 60610
PERSPECTIVES - MATH & SCI HS|3663 S Wabash Ave Chicago, IL 60653
PHILLIPS HS|244 E Pershing Rd Chicago, IL 60653
DYETT HS|555 E 51st St Chicago, IL 60615
PERSPECTIVES - LEADERSHIP HS|8131 S May St Chicago, IL 60620
